title,date
"Cold snap leaves one dead, over 4 million without power in Texas",Feb 16 2021
U.S. administers 55.2 million doses of COVID-19 vaccines - CDC,Feb 16 2021
COVID school closures may slightly stunt U.S. economic growth: Fed paper,Feb 16 2021
Biden urged to end Trump lawsuit blocking payments to Puerto Ricans,Feb 16 2021
U.S. Senate acquits Trump as Republicans save him in impeachment again,Feb 16 2021
"'Hard to bring tears out:' Stunned by pandemic, some Americans struggle to grieve",Feb 16 2021
"At least three dead, 10 injured in North Carolina tornado",Feb 16 2021
U.S. Operation Warp Speed's Slaoui joins newly formed drug developer as lead scientist,Feb 16 2021
Appeals court halts construction at ConocoPhillips Alaska project,Feb 16 2021
"With Trump impeachment trial over, wounded Washington grapples with divisions",Feb 16 2021
U.S. lawmakers will set up commission to probe Jan. 6 attack on Capitol: Pelosi,Feb 16 2021
"Bristol-Myers, Sanofi ordered to pay Hawaii $834 million over Plavix warning label",Feb 16 2021
"Acquitted again by Senate, Trump still a powerful force in Republican politics",Feb 16 2021
Poll: Most Americans think Trump at least partially responsible for Capitol attack,Feb 16 2021
U.S. Supreme Court clears way for Ghosn's accused escape plotters extradition,Feb 16 2021
Factbox: Seven Republicans vote to convict Trump in impeachment trial,Feb 16 2021
"After not-guilty vote, McConnell says Trump 'morally responsible' for Capitol riot",Feb 16 2021
"Biden, reflecting on Senate acquittal of Trump, says 'democracy is fragile'",Feb 16 2021
"Cuomo acknowledges withholding New York nursing home pandemic death toll from lawmakers, public",Feb 16 2021
"U.S. oil wells, refineries shut as winter storm hits energy sector",Feb 15 2021
North Carolina Republican leaders vote to censure Burr over impeachment vote,Feb 15 2021
George Floyd's family 'outraged' after reports of LAPD Valentine-themed image: attorney,Feb 15 2021
NBA: Jordan announces $10 million donation to open health clinics in North Carolina,Feb 15 2021
Icy weather chills Texas wind energy as deep freeze grips much of U.S.,Feb 15 2021
CDC chief warns it's too soon in U.S. to lift COVID-19 mask mandates,Feb 14 2021
SolarWinds hack was 'largest and most sophisticated attack' ever: Microsoft president,Feb 14 2021
"U.S. administers 52.9 million doses of COVID-19 vaccines, CDC says",Feb 14 2021
New York police arrest suspect in deadly 'subway slasher' attacks,Feb 14 2021
New York police flood subway after spate of stabbings leaves two dead,Feb 13 2021
White House press aide quits over threatening remarks to journalist,Feb 13 2021
Over 50 million doses of COVID-19 vaccines administered: U.S. CDC,Feb 13 2021
U.S. Senate agrees to admit lawmaker statement as evidence in Trump impeachment trial,Feb 13 2021
"Valentine's Day will see more snow, ice and rain across much of U.S.",Feb 13 2021
"Biden launches review of Guantanamo prison, aims to close it before leaving office",Feb 13 2021
Top Senate Republican McConnell to vote to acquit Trump in impeachment trial: source,Feb 13 2021
Virtual front rows as New York kicks off digital fashion shows,Feb 13 2021
Trump lawyers portray impeachment trial as Democratic score-settling,Feb 13 2021
Senator Graham's call with Georgia official part of election probe: Washington Post,Feb 12 2021
U.S. Senate honors police officer who protected lawmakers in riot,Feb 12 2021
Busiest U.S. seaport in California starts giving COVID-19 vaccinations,Feb 12 2021
Biden makes first trip as U.S. president to rustic Camp David retreat,Feb 12 2021
Biden to bring in asylum seekers forced to wait in Mexico under Trump program,Feb 12 2021
Virginia man with ties to anti-government 'Oath Keepers' pleads not guilty in Capitol riots case,Feb 12 2021
White House suspends press aide who reportedly threatened journalist,Feb 12 2021
White House says no intention to require COVID-19 testing on domestic flights,Feb 12 2021
U.S. CDC recommends schools reopen with masks and rigid health protocols,Feb 12 2021
U.S. Congress panel to hear Postal Service officials on finances,Feb 12 2021
"Buffalo officers, cleared of charges on shoving elderly man, face internal probe",Feb 12 2021
Biden says CDC guidance on reopening schools is solid science,Feb 12 2021
Republican enthusiasm for second Trump term lags as impeachment trial nears end,Feb 12 2021
U.S. senators prod Biden administration on Nord Stream 2 pipeline sanctions,Feb 12 2021
"Snow, freezing rain forecast for U.S. heartland on Valentine's Day weekend",Feb 12 2021
Delay in U.S. census data could muddle 2022 congressional elections,Feb 12 2021
White House did not approve new CDC guidance on reopening schools,Feb 12 2021
"U.S. CDC says schools in low COVID-19-transmission areas can fully reopen with mask-wearing, mitigation",Feb 12 2021
"Pilloried in Washington, Marjorie Taylor Greene is loved back home",Feb 12 2021
Georgia prosecutors launch criminal probe into Trump efforts to influence election,Feb 12 2021
Georgia prosecutor says Trump probe will look at intent,Feb 12 2021
Biden aims to close Guantanamo Bay prison by the time he leaves office,Feb 12 2021
Cheap old homes draw U.S. millennials escaping pandemic cages,Feb 12 2021
Amazon sues New York attorney general to preempt COVID-19 lawsuit,Feb 12 2021
Factbox: U.S. prison in Guantanamo is again in the spotlight,Feb 12 2021
Carlos Ghosn's accused escape plotters ask U.S. Supreme Court to delay extradition to Japan,Feb 12 2021
Five charged with Proud Boys conspiracy in deadly U.S. Capitol attack,Feb 12 2021
U.S. Army Corps attorneys withdraw from Dakota Access Pipeline case,Feb 12 2021
"Biden presses for $1.9 trillion COVID relief plan with governors, mayors",Feb 12 2021
Carlos Ghosn's accused escape plotters ask U.S. Supreme Court to delay extradition to Japan,Feb 12 2021
Florida consumers 'flabbergasted' as property insurers push for double-digit rate hikes,Feb 12 2021
"If Senate does not convict Trump, 'he can do this again,' Democrats warn",Feb 12 2021
Prominent anti-Trump Republicans reject third party,Feb 12 2021
"Maria Bartiromo, Lou Dobbs file motions to dismiss Smartmatic lawsuit",Feb 12 2021
"U.S. Interior Department to consult with tribal leaders on climate, COVID-19",Feb 12 2021
Dose shortages undermine push by U.S. states to speed COVID-19 vaccinations,Feb 12 2021
U.S. DoJ says man in North Carolina charged with threatening Biden,Feb 12 2021
Twitter suspends Project Veritas account over privacy violations,Feb 12 2021
Six die in icy Texas pileup as frigid weather blankets much of U.S,Feb 11 2021
CDC to issue new COVID-19 guidelines for schools on Friday: White House,Feb 11 2021
"Biden says Trump 'did not do his job' on coronavirus vaccination program, urges patience",Feb 11 2021
"Over her objection, Ghislaine Maxwell's testimony about massages is unsealed",Feb 11 2021
'This really hit home': California Chinatown crime wave prompts actors to offer reward,Feb 11 2021
White House has made 'no decisions' on any new COVID-19 travel restrictions,Feb 11 2021
"Wisconsin judge denies request to re-arrest Kyle Rittenhouse, hike bond",Feb 11 2021
Biden says there will not be enough COVID vaccines by end of summer to vaccinate all Americans,Feb 11 2021
"Man charged with murder in shooting, bombing attack at Minnesota clinic",Feb 11 2021
Recently vaccinated people need not quarantine post COVID-19 exposure: CDC,Feb 11 2021
"No current plans to extend April 15 U.S. tax deadline, IRS official says",Feb 11 2021
Pelosi aims to finish COVID-19 relief by month's end,Feb 11 2021
"Graphic riot videos not enough to convict Trump, some Republican senators say",Feb 11 2021
Exclusive: Dozens of former Republican officials in talks to form anti-Trump third party,Feb 11 2021
Instagram removes Robert F. Kennedy Jr. for posting false COVID-19 claims,Feb 11 2021
Executors of Jeffrey Epstein's estate accused of complicity by U.S. Virgin Islands,Feb 11 2021
New York will reopen stadiums with limited capacity,Feb 11 2021
"Tragedy, loss and hope: Overseeing New York hospitals during a pandemic",Feb 11 2021
"Larry Flynt, porn publisher and free-speech activist, dead at 78",Feb 10 2021
"In chilling video, Democrats focus Trump trial on mob's threat to his fellow Republicans",Feb 10 2021
White House says 'vast majority' of migrants at U.S.-Mexico border will be turned away,Feb 10 2021
Los Angeles Super Bowl aims to bring back hope,Feb 10 2021
"Parental warnings, harrowing footage: Takeaways from Trump's impeachment trial",Feb 10 2021
"Two masks, snug fit reduces COVID-19 spread, U.S. study shows",Feb 10 2021
Ghislaine Maxwell cannot compel Epstein accuser to divulge settlement payment: U.S. judge,Feb 10 2021
Manhattan federal prosecutor to stay in office at present,Feb 10 2021
Five storms in 10 days loom amid bitter cold in north United States,Feb 10 2021
UAW president holds White House talks on vehicle emissions,Feb 10 2021
"65.9 million doses of COVID-19 vaccines delivered, 44.7 million administered: U.S. CDC",Feb 10 2021
"Senators vote to proceed with Trump's impeachment trial, but conviction may prove elusive",Feb 10 2021
"'I don't want to come back:' As Trump trial opens, Democrat recalls daughter's fear during riot",Feb 10 2021
Biden budget nominee 'absolutely' backs U.S. minimum wage hike,Feb 10 2021
Coca-Cola turns to 100% recycled plastic bottles in U.S.,Feb 10 2021
California surpasses New York as U.S. state with most COVID-19 deaths,Feb 10 2021
U.S. government partnering with Texas to build three mass vaccination sites,Feb 10 2021
"About 600 gallons of oil spilled from Chevron Richmond, California site",Feb 10 2021
"U.S. border agents do not need warrants to search digital devices, court rules",Feb 10 2021
